TipLabel,distance_from_brown
Alcippe_poioicephala,3330.9906900792994
Alcippe_pyrrhoptera,3907.4724521811845
Alcippe_ruficapilla,2910.586033588466
Alcippe_rufogularis,3951.78777661727
Alcippe_striaticollis,3889.5866015621573
Alcippe_variegaticeps,5401.81268758897
Alcippe_vinipectus,3942.530753176545
Aleadryas_rufinucha,5279.894619872247
Alectrurus_risora,4580.342939930201
Alectrurus_tricolor,3494.17097605478
Alethe_choloensis,3903.819453657818
Alethe_diademata,4528.59846160835
Alethe_fuelleborni,3794.4809598926904
Alethe_poliocephala,3648.124520827569
Alethe_poliophrys,4790.442008193422
Alophoixus_affinis,5824.767007549502
Alophoixus_bres,6182.784677412044
Alophoixus_finschii,5363.563013881065
Alophoixus_flaveolus,6165.470419813565
Alophoixus_ochraceus,4633.146845964825
Alophoixus_pallidus,3846.279947586621
Alophoixus_phaeocephalus,6224.631568399037
Alopochelidon_fucata,4696.29572895612
Amadina_erythrocephala,5625.69244107486
Amadina_fasciata,5663.845507033368
Amalocichla_incerta,2262.458468391199
Amalocichla_sclateriana,2161.5145691569924
Amandava_amandava,4918.875122089888
Amandava_formosa,4950.334670603207
Amandava_subflava,6333.17370955967
Amaurocichla_bocagei,4256.9092648327405
Amaurospiza_carrizalensis,3535.284223928237
Amaurospiza_concolor,3596.4937538792296
Amaurospiza_moesta,3951.146986539488
Amblycercus_holosericeus,4777.387789435785
Amblyornis_flavifrons,6814.351065945823
Amblyornis_inornata,2816.394249311895
Amblyornis_macgregoriae,3639.422698131302
Amblyornis_subalaris,5595.092459025562
Amblyospiza_albifrons,3952.7798498183274
Amblyramphus_holosericeus,6264.73368712666
Ammodramus_aurifrons,3293.80679366253
Ammodramus_bairdii,3387.184223912844
Ammodramus_caudacutus,3226.696157237927
Ammodramus_henslowii,3559.786231114715
Ammodramus_humeralis,3720.7808203362065
Ammodramus_leconteii,3654.8609074821215
Ammodramus_maritimus,3156.7015519517004
Ammodramus_nelsoni,3216.8211929701406
Ammodramus_savannarum,3189.061109604565
Ammomanes_cinctura,3506.437113856532
Ammomanes_deserti,3027.5009630270242
Ammomanes_grayi,3766.459634253533
Ammomanes_phoenicura,2807.120379372861
Ampeliceps_coronatus,4418.527375148573
Ampelioides_tschudii,6718.104498629396
Ampelion_rubrocristatus,2621.712998024638
Ampelion_rufaxilla,5633.2234718432965
Amphilais_seebohmi,3614.9160028054707
Amphispiza_belli,3800.2922760285787
Amphispiza_bilineata,3819.04075462099
Amytornis_ballarae,1881.4506765819106
Amytornis_barbatus,3598.698927218831
Amytornis_dorotheae,3669.2149711302013
Amytornis_goyderi,3799.5393880669208
Amytornis_housei,2890.9819624248767
Amytornis_merrotsyi,3473.964460033219
Amytornis_purnelli,2654.8987486575534
Amytornis_striatus,3609.8997156791947
Amytornis_textilis,2130.8123105013156
Amytornis_woodwardi,3768.185612968126
Anabacerthia_amaurotis,3527.808675583043
Anabacerthia_striaticollis,3319.839569597281
Anabacerthia_variegaticeps,3335.9034381518145
Anabazenops_dorsalis,3049.281823678177
Anabazenops_fuscus,3926.4129972568994
Anairetes_agilis,2651.8606226154247
Anairetes_agraphia,2370.214492067837
Anairetes_alpinus,3122.171959552372
Anairetes_fernandezianus,3719.9235706700815
Anairetes_flavirostris,3360.863495971485
Anairetes_nigrocristatus,3496.3665586705965
Anairetes_parulus,3198.4286796303572
Anairetes_reguloides,3929.0671591658515
Anaplectes_rubriceps,6036.713509092818
Ancistrops_strigilatus,2835.8516911150377
Andropadus_ansorgei,1571.4154579104047
Andropadus_curvirostris,1449.6565264150688
Andropadus_gracilirostris,2076.4786964090713
Andropadus_gracilis,2219.2284807878564
Andropadus_importunus,1898.9805028682583
Andropadus_latirostris,6286.9027660106085
Andropadus_masukuensis,2725.1540286163217
Andropadus_milanjensis,4203.494240610081
Andropadus_montanus,4086.256362830837
Andropadus_nigriceps,2875.5963376407713
Andropadus_tephrolaemus,4002.684611825446
Andropadus_virens,2151.237184792755
Androphobus_viridis,3124.8152996780605
Anisognathus_igniventris,5694.392176886477
Anisognathus_lacrymosus,6085.613776673853
Anisognathus_melanogenys,6196.840658945534
Anisognathus_notabilis,6089.431326541649
Anisognathus_somptuosus,6516.819478334095
Anomalospiza_imberbis,4835.448701714834
Anthochaera_carunculata,3378.0511799968394
Anthochaera_chrysoptera,2414.131446586908
Anthochaera_lunulata,2136.283627795408
Anthochaera_paradoxa,3969.013597743117
