COMMON_NAME,SCIENTIFIC_NAME,MIGRATORY_STATUS,SOURCE_OF_MIGRATORY_STATUS,IUCN_HABITATS,AUDUBON_HABITAT
Red-throated Loon,Gavia stellata,moderate,0,marine_neritic,Wetland
Red-throated Loon,Gavia stellata,moderate,0,wetlands_inland,Wetland
Red-winged Blackbird,Agelaius phoeniceus,short,0,artificial_terrestrial,Various
Red-winged Blackbird,Agelaius phoeniceus,short,0,wetlands_inland,Various
Rhinoceros Auklet,Cerorhinca monocerata,withdrawal,1,grassland,Ocean
Rhinoceros Auklet,Cerorhinca monocerata,withdrawal,1,marine_neritic,Ocean
Rhinoceros Auklet,Cerorhinca monocerata,withdrawal,1,marine_oceanic,Ocean
Ring-billed Gull,Larus delawarensis,short,0,artificial_aquatic_marine,Wetland
Ring-billed Gull,Larus delawarensis,short,0,grassland,Wetland
Ring-billed Gull,Larus delawarensis,short,0,marine_coastal_supratidal,Wetland
Ring-billed Gull,Larus delawarensis,short,0,marine_neritic,Wetland
Ring-billed Gull,Larus delawarensis,short,0,wetlands_inland,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,artificial_aquatic_marine,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,artificial_terrestrial,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,forest,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,marine_coastal_supratidal,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,marine_intertidal,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,marine_neritic,Wetland
Ringed Kingfisher,Megaceryle torquata,resident,1,wetlands_inland,Wetland
Ring-necked Duck,Aythya collaris,short,0,wetlands_inland,Wetland
Ring-necked Pheasant,Phasianus colchicus,resident,1,artificial_terrestrial,Various
Ring-necked Pheasant,Phasianus colchicus,resident,1,forest,Various
Ring-necked Pheasant,Phasianus colchicus,resident,1,shrubland,Various
Rock Pigeon,Columba livia,resident,1,artificial_terrestrial,Various
Rock Pigeon,Columba livia,resident,1,caves,Various
Rock Pigeon,Columba livia,resident,1,rocky,Various
Rock Ptarmigan,Lagopus muta,withdrawal,1,grassland,Grassland
Rock Sandpiper,Calidris ptilocnemis,moderate,0,grassland,Wetland
Rock Sandpiper,Calidris ptilocnemis,moderate,0,marine_intertidal,Wetland
Rock Sandpiper,Calidris ptilocnemis,moderate,0,wetlands_inland,Wetland
Rock Wren,Salpinctes obsoletus,short,0,rocky,Various
Rock Wren,Salpinctes obsoletus,short,0,shrubland,Various
Roseate Spoonbill,Platalea ajaja,withdrawal,1,wetlands_inland,Wetland
Rose-breasted Grosbeak,Pheucticus ludovicianus,moderate,0,artificial_terrestrial,Woodland
Rose-breasted Grosbeak,Pheucticus ludovicianus,moderate,0,forest,Woodland
Ross's Goose,Chen rossii,moderate,0,artificial_aquatic_marine,Wetland
Ross's Goose,Chen rossii,moderate,0,artificial_terrestrial,Wetland
Ross's Goose,Chen rossii,moderate,0,grassland,Wetland
Ross's Goose,Chen rossii,moderate,0,rocky,Wetland
Ross's Goose,Chen rossii,moderate,0,wetlands_inland,Wetland
Rough-legged Hawk,Buteo lagopus,moderate,0,artificial_terrestrial,Grassland
Rough-legged Hawk,Buteo lagopus,moderate,0,forest,Grassland
Rough-legged Hawk,Buteo lagopus,moderate,0,grassland,Grassland
Rough-legged Hawk,Buteo lagopus,moderate,0,rocky,Grassland
Rough-legged Hawk,Buteo lagopus,moderate,0,shrubland,Grassland
Rough-legged Hawk,Buteo lagopus,moderate,0,wetlands_inland,Grassland
Royal Tern,Thalasseus maximus,short,0,marine_coastal_supratidal,Wetland
Royal Tern,Thalasseus maximus,short,0,marine_intertidal,Wetland
Royal Tern,Thalasseus maximus,short,0,marine_neritic,Wetland
Ruby-crowned Kinglet,Regulus calendula,short,0,forest,Woodland
Ruby-throated Hummingbird,Archilochus colubris,moderate,0,artificial_terrestrial,Woodland
Ruby-throated Hummingbird,Archilochus colubris,moderate,0,forest,Woodland
Ruby-throated Hummingbird,Archilochus colubris,moderate,0,shrubland,Woodland
Ruddy Duck,Oxyura jamaicensis,short,0,marine_coastal_supratidal,Wetland
Ruddy Duck,Oxyura jamaicensis,short,0,marine_neritic,Wetland
Ruddy Duck,Oxyura jamaicensis,short,0,wetlands_inland,Wetland
Ruddy Turnstone,Arenaria interpres,moderate,0,grassland,Wetland
Ruddy Turnstone,Arenaria interpres,moderate,0,marine_intertidal,Wetland
Ruddy Turnstone,Arenaria interpres,moderate,0,marine_neritic,Wetland
Ruddy Turnstone,Arenaria interpres,moderate,0,wetlands_inland,Wetland
Ruffed Grouse,Bonasa umbellus,resident,1,forest,Woodland
Rufous Hummingbird,Selasphorus rufus,moderate,0,artificial_terrestrial,Woodland
Rufous Hummingbird,Selasphorus rufus,moderate,0,forest,Woodland
Rufous Hummingbird,Selasphorus rufus,moderate,0,shrubland,Woodland
Rufous-crowned Sparrow,Aimophila ruficeps,resident,1,forest,Shrubland
Rufous-crowned Sparrow,Aimophila ruficeps,resident,1,grassland,Shrubland
Rufous-crowned Sparrow,Aimophila ruficeps,resident,1,shrubland,Shrubland
Rufous-winged Sparrow,Peucaea carpalis,resident,1,grassland,Shrubland
Rufous-winged Sparrow,Peucaea carpalis,resident,1,shrubland,Shrubland
Rusty Blackbird,Euphagus carolinus,moderate,0,wetlands_inland,Wetland
Sage Thrasher,Oreoscoptes montanus,short,0,shrubland,Shrubland
Sanderling,Calidris alba,long,0,grassland,Wetland
Sanderling,Calidris alba,long,0,marine_intertidal,Wetland
Sanderling,Calidris alba,long,0,wetlands_inland,Wetland
Sandhill Crane,Grus canadensis,moderate,0,grassland,Wetland
Sandhill Crane,Grus canadensis,moderate,0,wetlands_inland,Wetland
Sandwich Tern,Thalasseus sandvicensis,short,0,marine_intertidal,Wetland
Sandwich Tern,Thalasseus sandvicensis,short,0,marine_neritic,Wetland
Sandwich Tern,Thalasseus sandvicensis,short,0,marine_oceanic,Wetland
Savannah Sparrow,Passerculus sandwichensis,short,0,artificial_terrestrial,Grassland
Savannah Sparrow,Passerculus sandwichensis,short,0,grassland,Grassland
Savannah Sparrow,Passerculus sandwichensis,short,0,marine_coastal_supratidal,Grassland
Savannah Sparrow,Passerculus sandwichensis,short,0,marine_intertidal,Grassland
Savannah Sparrow,Passerculus sandwichensis,short,0,shrubland,Grassland
Savannah Sparrow,Passerculus sandwichensis,short,0,wetlands_inland,Grassland
Say's Phoebe,Sayornis saya,short,0,artificial_terrestrial,Various
Say's Phoebe,Sayornis saya,short,0,grassland,Various
Say's Phoebe,Sayornis saya,short,0,shrubland,Various
Scaled Quail,Callipepla squamata,resident,1,grassland,Shrubland
Scaled Quail,Callipepla squamata,resident,1,shrubland,Shrubland
Scarlet Tanager,Piranga olivacea,long,1,artificial_terrestrial,Woodland
Scarlet Tanager,Piranga olivacea,long,1,forest,Woodland
Scissor-tailed Flycatcher,Tyrannus forficatus,moderate,0,artificial_terrestrial,Shrubland
Scissor-tailed Flycatcher,Tyrannus forficatus,moderate,0,forest,Shrubland
Scissor-tailed Flycatcher,Tyrannus forficatus,moderate,0,grassland,Shrubland
Scissor-tailed Flycatcher,Tyrannus forficatus,moderate,0,savanna,Shrubland
Scissor-tailed Flycatcher,Tyrannus forficatus,moderate,0,shrubland,Shrubland
Scott's Oriole,Icterus parisorum,short,0,desert,Shrubland
Scott's Oriole,Icterus parisorum,short,0,shrubland,Shrubland
Seaside Sparrow,Ammodramus maritimus,withdrawal,0,marine_intertidal,Wetland
Sedge Wren,Cistothorus platensis,moderate,0,artificial_terrestrial,Wetland
Sedge Wren,Cistothorus platensis,moderate,0,grassland,Wetland
Sedge Wren,Cistothorus platensis,moderate,0,savanna,Wetland
Sedge Wren,Cistothorus platensis,moderate,0,wetlands_inland,Wetland
Semipalmated Plover,Charadrius semipalmatus,long,0,marine_coastal_supratidal,Wetland
Semipalmated Plover,Charadrius semipalmatus,long,0,marine_intertidal,Wetland
Semipalmated Plover,Charadrius semipalmatus,long,0,wetlands_inland,Wetland
Semipalmated Sandpiper,Calidris pusilla,long,1,grassland,Wetland
Semipalmated Sandpiper,Calidris pusilla,long,1,marine_coastal_supratidal,Wetland
Semipalmated Sandpiper,Calidris pusilla,long,1,marine_intertidal,Wetland
Semipalmated Sandpiper,Calidris pusilla,long,1,wetlands_inland,Wetland
Sharp-shinned Hawk,Accipiter striatus,short,0,artificial_terrestrial,Woodland
Sharp-shinned Hawk,Accipiter striatus,short,0,forest,Woodland
Sharp-shinned Hawk,Accipiter striatus,short,0,savanna,Woodland
Sharp-shinned Hawk,Accipiter striatus,short,0,shrubland,Woodland
Sharp-tailed Grouse,Tympanuchus phasianellus,resident,1,forest,Shrubland
Sharp-tailed Grouse,Tympanuchus phasianellus,resident,1,grassland,Shrubland
Sharp-tailed Sparrow (Nelson's and Saltmarsh),Ammodramus nelsoni and caudacutus,short,0,marine_intertidal,Wetland
Sharp-tailed Sparrow (Nelson's and Saltmarsh),Ammodramus nelsoni and caudacutus,short,0,wetlands_inland,Wetland
Short-billed Dowitcher,Limnodromus griseus,moderate,0,grassland,Wetland
Short-billed Dowitcher,Limnodromus griseus,moderate,0,marine_intertidal,Wetland
Short-billed Dowitcher,Limnodromus griseus,moderate,0,wetlands_inland,Wetland
Short-eared Owl,Asio flammeus,short,0,artificial_terrestrial,Grassland
Short-eared Owl,Asio flammeus,short,0,grassland,Grassland
Short-eared Owl,Asio flammeus,short,0,wetlands_inland,Grassland
Short-tailed Hawk,Buteo brachyurus,withdrawal,0,forest,Woodland
Short-tailed Hawk,Buteo brachyurus,withdrawal,0,savanna,Woodland
Smith's Longspur,Calcarius pictus,moderate,0,artificial_terrestrial,Grassland
Smith's Longspur,Calcarius pictus,moderate,0,grassland,Grassland
Smith's Longspur,Calcarius pictus,moderate,0,shrubland,Grassland
Smith's Longspur,Calcarius pictus,moderate,0,wetlands_inland,Grassland
Snail Kite,Rostrhamus sociabilis,resident,1,artificial_aquatic_marine,Wetland
Snail Kite,Rostrhamus sociabilis,resident,1,wetlands_inland,Wetland
Snow Bunting,Plectrophenax nivalis,moderate,0,grassland,Grassland
Snow Bunting,Plectrophenax nivalis,moderate,0,marine_coastal_supratidal,Grassland
Snow Bunting,Plectrophenax nivalis,moderate,0,rocky,Grassland
Snow Goose,Chen caerulescens,moderate,0,artificial_terrestrial,Wetland
Snow Goose,Chen caerulescens,moderate,0,grassland,Wetland
Snow Goose,Chen caerulescens,moderate,0,marine_intertidal,Wetland
Snow Goose,Chen caerulescens,moderate,0,rocky,Wetland
Snow Goose,Chen caerulescens,moderate,0,wetlands_inland,Wetland
Snowy Egret,Egretta thula,short,0,marine_intertidal,Wetland
Snowy Egret,Egretta thula,short,0,wetlands_inland,Wetland
Snowy Owl,Bubo scandiacus,irruptive,0,artificial_terrestrial,Grassland
Snowy Owl,Bubo scandiacus,irruptive,0,grassland,Grassland
Snowy Owl,Bubo scandiacus,irruptive,0,wetlands_inland,Grassland
Snowy Plover,Charadrius nivosus,short,0,artificial_aquatic_marine,Wetland
Snowy Plover,Charadrius nivosus,short,0,desert,Wetland
Snowy Plover,Charadrius nivosus,short,0,grassland,Wetland
Snowy Plover,Charadrius nivosus,short,0,marine_coastal_supratidal,Wetland
Snowy Plover,Charadrius nivosus,short,0,marine_intertidal,Wetland
Snowy Plover,Charadrius nivosus,short,0,marine_neritic,Wetland
Snowy Plover,Charadrius nivosus,short,0,wetlands_inland,Wetland
Solitary Sandpiper,Tringa solitaria,long,0,artificial_aquatic_marine,Wetland
Solitary Sandpiper,Tringa solitaria,long,0,forest,Wetland
Solitary Sandpiper,Tringa solitaria,long,0,grassland,Wetland
Solitary Sandpiper,Tringa solitaria,long,0,savanna,Wetland
Solitary Sandpiper,Tringa solitaria,long,0,wetlands_inland,Wetland
"Solitary Vireo complex (Plumbeous, Cassin's, and Blue-headed Vireos)","Vireo plumbeus, cassinii, and solitarius",moderate,0,forest,Woodland
Song Sparrow,Melospiza melodia,short,0,artificial_terrestrial,Shrubland
Song Sparrow,Melospiza melodia,short,0,grassland,Shrubland
Song Sparrow,Melospiza melodia,short,0,marine_intertidal,Shrubland
Song Sparrow,Melospiza melodia,short,0,shrubland,Shrubland
Song Sparrow,Melospiza melodia,short,0,wetlands_inland,Shrubland
Sora,Porzana carolina,short,0,wetlands_inland,Wetland
Spot-breasted Oriole,Icterus pectoralis,resident,1,artificial_terrestrial,Various
Spot-breasted Oriole,Icterus pectoralis,resident,1,forest,Various
Spot-breasted Oriole,Icterus pectoralis,resident,1,shrubland,Various
Spotted Dove,Streptopelia chinensis,resident,1,artificial_terrestrial,Various
Spotted Dove,Streptopelia chinensis,resident,1,forest,Various
Spotted Dove,Streptopelia chinensis,resident,1,wetlands_inland,Various
Spotted Owl,Strix occidentalis,resident,1,forest,Woodland
Spotted Sandpiper,Actitis macularius,moderate,0,artificial_aquatic_marine,Wetland
Spotted Sandpiper,Actitis macularius,moderate,0,marine_coastal_supratidal,Wetland
Spotted Sandpiper,Actitis macularius,moderate,0,marine_intertidal,Wetland
Spotted Sandpiper,Actitis macularius,moderate,0,wetlands_inland,Wetland
Spotted Towhee,Pipilo maculatus,short,0,artificial_terrestrial,Shrubland
Spotted Towhee,Pipilo maculatus,short,0,forest,Shrubland
Spotted Towhee,Pipilo maculatus,short,0,shrubland,Shrubland
Sprague's Pipit,Anthus spragueii,moderate,0,artificial_terrestrial,Grassland
Sprague's Pipit,Anthus spragueii,moderate,0,grassland,Grassland
Spruce Grouse,Falcipennis canadensis,resident,1,forest,Woodland
Steller's Jay,Cyanocitta stelleri,resident,1,artificial_terrestrial,Woodland
Steller's Jay,Cyanocitta stelleri,resident,1,forest,Woodland
Stilt Sandpiper,Calidris himantopus,long,0,artificial_aquatic_marine,Wetland
Stilt Sandpiper,Calidris himantopus,long,0,forest,Wetland
Stilt Sandpiper,Calidris himantopus,long,0,grassland,Wetland
Stilt Sandpiper,Calidris himantopus,long,0,wetlands_inland,Wetland
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,moderate,1,artificial_terrestrial,Woodland
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,moderate,1,forest,Woodland
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,moderate,1,wetlands_inland,Woodland
Summer Tanager,Piranga rubra,moderate,0,artificial_terrestrial,Woodland
Summer Tanager,Piranga rubra,moderate,0,forest,Woodland
Surf Scoter,Melanitta perspicillata,moderate,0,forest,Wetland
Surf Scoter,Melanitta perspicillata,moderate,0,marine_neritic,Wetland
Surf Scoter,Melanitta perspicillata,moderate,0,wetlands_inland,Wetland
Surfbird,Calidris virgata,moderate,0,grassland,Wetland
Surfbird,Calidris virgata,moderate,0,marine_intertidal,Wetland
Surfbird,Calidris virgata,moderate,0,rocky,Wetland
Swainson's Hawk,Buteo swainsoni,long,0,artificial_terrestrial,Various
Swainson's Hawk,Buteo swainsoni,long,0,grassland,Various
Swainson's Hawk,Buteo swainsoni,long,0,savanna,Various
Swainson's Hawk,Buteo swainsoni,long,0,shrubland,Various
Swainson's Thrush,Catharus ustulatus,long,0,artificial_terrestrial,Woodland
Swainson's Thrush,Catharus ustulatus,long,0,forest,Woodland
Swainson's Warbler,Limnothlypis swainsonii,moderate,0,forest,Woodland
Swainson's Warbler,Limnothlypis swainsonii,moderate,0,shrubland,Woodland
Swainson's Warbler,Limnothlypis swainsonii,moderate,0,wetlands_inland,Woodland
Swallow-tailed Kite,Elanoides forficatus,long,0,forest,Woodland
Swamp Sparrow,Melospiza georgiana,short,0,wetlands_inland,Wetland
Tennessee Warbler,Oreothlypis peregrina,long,0,artificial_terrestrial,Woodland
Tennessee Warbler,Oreothlypis peregrina,long,0,forest,Woodland
Tennessee Warbler,Oreothlypis peregrina,long,0,shrubland,Woodland
Thayer's Gull,Larus thayeri,moderate,0,artificial_terrestrial,Wetland
Thayer's Gull,Larus thayeri,moderate,0,marine_coastal_supratidal,Wetland
Thayer's Gull,Larus thayeri,moderate,0,marine_intertidal,Wetland
Thayer's Gull,Larus thayeri,moderate,0,marine_neritic,Wetland
Thayer's Gull,Larus thayeri,moderate,0,rocky,Wetland
Thick-billed Kingbird,Tyrannus crassirostris,withdrawal,0,artificial_terrestrial,Woodland
Thick-billed Kingbird,Tyrannus crassirostris,withdrawal,0,forest,Woodland
Thick-billed Kingbird,Tyrannus crassirostris,withdrawal,0,savanna,Woodland
Thick-billed Kingbird,Tyrannus crassirostris,withdrawal,0,shrubland,Woodland
Thick-billed Kingbird,Tyrannus crassirostris,withdrawal,0,wetlands_inland,Woodland
Thick-billed Murre,Uria lomvia,short,1,marine_coastal_supratidal,Ocean
Thick-billed Murre,Uria lomvia,short,1,marine_neritic,Ocean
Thick-billed Murre,Uria lomvia,short,1,marine_oceanic,Ocean
Townsend's Solitaire,Myadestes townsendi,short,0,forest,Woodland
Townsend's Solitaire,Myadestes townsendi,short,0,shrubland,Woodland
Townsend's Warbler,Setophaga townsendi,moderate,0,forest,Woodland
Tree Swallow,Tachycineta bicolor,moderate,0,artificial_terrestrial,Various
Tree Swallow,Tachycineta bicolor,moderate,0,wetlands_inland,Various
Tricolored Blackbird,Agelaius tricolor,short,0,artificial_terrestrial,Wetland
Tricolored Blackbird,Agelaius tricolor,short,0,wetlands_inland,Wetland
Tricolored Heron,Egretta tricolor,short,0,forest,Wetland
Tricolored Heron,Egretta tricolor,short,0,marine_intertidal,Wetland
Tricolored Heron,Egretta tricolor,short,0,wetlands_inland,Wetland
Tropical Kingbird,Tyrannus melancholicus,withdrawal,1,artificial_terrestrial,Woodland
Tropical Kingbird,Tyrannus melancholicus,withdrawal,1,forest,Woodland
Tropical Kingbird,Tyrannus melancholicus,withdrawal,1,shrubland,Woodland
Tropical Kingbird,Tyrannus melancholicus,withdrawal,1,wetlands_inland,Woodland
Tropical Parula,Setophaga pitiayumi,withdrawal,1,forest,Woodland
Tropical Parula,Setophaga pitiayumi,withdrawal,1,savanna,Woodland
Trumpeter Swan,Cygnus buccinator,short,0,marine_neritic,Wetland
Trumpeter Swan,Cygnus buccinator,short,0,wetlands_inland,Wetland
Tufted and Black-crested Titmouse,Baeolophus bicolor and atricristatus,resident,1,artificial_terrestrial,Woodland
Tufted and Black-crested Titmouse,Baeolophus bicolor and atricristatus,resident,1,forest,Woodland
Tufted and Black-crested Titmouse,Baeolophus bicolor and atricristatus,resident,1,shrubland,Woodland
Tufted Titmouse,Baeolophus bicolor,resident,1,artificial_terrestrial,Woodland
Tufted Titmouse,Baeolophus bicolor,resident,1,forest,Woodland
Tufted Titmouse,Baeolophus bicolor,resident,1,shrubland,Woodland
Tundra Swan,Cygnus columbianus,moderate,0,artificial_terrestrial,Wetland
Tundra Swan,Cygnus columbianus,moderate,0,grassland,Wetland
Tundra Swan,Cygnus columbianus,moderate,0,wetlands_inland,Wetland
Turkey Vulture,Cathartes aura,withdrawal,0,artificial_terrestrial,Various
Turkey Vulture,Cathartes aura,withdrawal,0,desert,Various
Turkey Vulture,Cathartes aura,withdrawal,0,forest,Various
Turkey Vulture,Cathartes aura,withdrawal,0,grassland,Various
Turkey Vulture,Cathartes aura,withdrawal,0,shrubland,Various
Upland Sandpiper,Bartramia longicauda,long,1,artificial_terrestrial,Grassland
Upland Sandpiper,Bartramia longicauda,long,1,grassland,Grassland
Varied Bunting,Passerina versicolor,short,0,shrubland,Shrubland
Varied Thrush,Ixoreus naevius,short,0,forest,Woodland
Vaux's Swift,Chaetura vauxi,moderate,0,artificial_terrestrial,Woodland
Vaux's Swift,Chaetura vauxi,moderate,0,forest,Woodland
Veery,Catharus fuscescens,long,1,forest,Woodland
Veery,Catharus fuscescens,long,1,savanna,Woodland
Verdin,Auriparus flaviceps,resident,1,desert,Shrubland
Verdin,Auriparus flaviceps,resident,1,savanna,Shrubland
Verdin,Auriparus flaviceps,resident,1,shrubland,Shrubland
Vermilion Flycatcher,Pyrocephalus rubinus,short,0,artificial_terrestrial,Shrubland
Vermilion Flycatcher,Pyrocephalus rubinus,short,0,forest,Shrubland
Vermilion Flycatcher,Pyrocephalus rubinus,short,0,savanna,Shrubland
Vermilion Flycatcher,Pyrocephalus rubinus,short,0,shrubland,Shrubland
Vesper Sparrow,Pooecetes gramineus,moderate,0,artificial_terrestrial,Grassland
Vesper Sparrow,Pooecetes gramineus,moderate,0,grassland,Grassland
Vesper Sparrow,Pooecetes gramineus,moderate,0,shrubland,Grassland
Violet-green Swallow,Tachycineta thalassina,moderate,0,desert,Woodland
Violet-green Swallow,Tachycineta thalassina,moderate,0,forest,Woodland
Violet-green Swallow,Tachycineta thalassina,moderate,0,grassland,Woodland
Violet-green Swallow,Tachycineta thalassina,moderate,0,marine_intertidal,Woodland
Violet-green Swallow,Tachycineta thalassina,moderate,0,rocky,Woodland
Violet-green Swallow,Tachycineta thalassina,moderate,0,shrubland,Woodland
Virginia Rail,Rallus limicola,short,0,wetlands_inland,Wetland
Virginia's Warbler,Oreothlypis virginiae,moderate,0,forest,Shrubland
Virginia's Warbler,Oreothlypis virginiae,moderate,0,shrubland,Shrubland
Wandering Tattler,Tringa incana,long,0,marine_intertidal,Wetland
Wandering Tattler,Tringa incana,long,0,marine_neritic,Wetland
Wandering Tattler,Tringa incana,long,0,wetlands_inland,Wetland
Warbling Vireo,Vireo gilvus,moderate,0,forest,Woodland
Warbling Vireo,Vireo gilvus,moderate,0,wetlands_inland,Woodland
Western Bluebird,Sialia mexicana,short,0,artificial_terrestrial,Woodland
Western Bluebird,Sialia mexicana,short,0,forest,Woodland
Western Bluebird,Sialia mexicana,short,0,shrubland,Woodland
Western Grebe,Aechmophorus occidentalis,short,0,wetlands_inland,Wetland
Western Gull,Larus occidentalis,withdrawal,0,marine_coastal_supratidal,Wetland
Western Gull,Larus occidentalis,withdrawal,0,marine_intertidal,Wetland
Western Gull,Larus occidentalis,withdrawal,0,marine_neritic,Wetland
Western Kingbird,Tyrannus verticalis,moderate,0,artificial_terrestrial,Woodland
Western Kingbird,Tyrannus verticalis,moderate,0,forest,Woodland
Western Kingbird,Tyrannus verticalis,moderate,0,grassland,Woodland
Western Kingbird,Tyrannus verticalis,moderate,0,savanna,Woodland
Western Kingbird,Tyrannus verticalis,moderate,0,shrubland,Woodland
Western Meadowlark,Sturnella neglecta,short,0,artificial_terrestrial,Grassland
Western Meadowlark,Sturnella neglecta,short,0,grassland,Grassland
Western Meadowlark,Sturnella neglecta,short,0,shrubland,Grassland
Western Sandpiper,Calidris mauri,long,0,grassland,Wetland
Western Sandpiper,Calidris mauri,long,0,marine_coastal_supratidal,Wetland
Western Sandpiper,Calidris mauri,long,0,marine_intertidal,Wetland
Western Sandpiper,Calidris mauri,long,0,marine_neritic,Wetland
Western Screech-Owl,Megascops kennicottii,resident,1,artificial_terrestrial,Woodland
Western Screech-Owl,Megascops kennicottii,resident,1,desert,Woodland
Western Screech-Owl,Megascops kennicottii,resident,1,forest,Woodland
Western Screech-Owl,Megascops kennicottii,resident,1,shrubland,Woodland
Western Scrub-Jay,Aphelocoma californica,resident,1,artificial_terrestrial,Shrubland
Western Scrub-Jay,Aphelocoma californica,resident,1,forest,Shrubland
Western Scrub-Jay,Aphelocoma californica,resident,1,shrubland,Shrubland
Western Tanager,Piranga ludoviciana,moderate,0,artificial_terrestrial,Woodland
Western Tanager,Piranga ludoviciana,moderate,0,forest,Woodland
Western Tanager,Piranga ludoviciana,moderate,0,shrubland,Woodland
Western Wood-Pewee,Contopus sordidulus,long,1,forest,Woodland
Whimbrel,Numenius phaeopus,moderate,0,artificial_aquatic_marine,Wetland
Whimbrel,Numenius phaeopus,moderate,0,forest,Wetland
Whimbrel,Numenius phaeopus,moderate,0,grassland,Wetland
Whimbrel,Numenius phaeopus,moderate,0,marine_coastal_supratidal,Wetland
Whimbrel,Numenius phaeopus,moderate,0,marine_intertidal,Wetland
Whimbrel,Numenius phaeopus,moderate,0,marine_neritic,Wetland
Whimbrel,Numenius phaeopus,moderate,0,shrubland,Wetland
Whimbrel,Numenius phaeopus,moderate,0,wetlands_inland,Wetland
Whiskered Screech-Owl,Megascops trichopsis,resident,1,artificial_terrestrial,Woodland
Whiskered Screech-Owl,Megascops trichopsis,resident,1,forest,Woodland
White Ibis,Eudocimus albus,withdrawal,1,forest,Wetland
White Ibis,Eudocimus albus,withdrawal,1,wetlands_inland,Wetland
White-breasted Nuthatch,Sitta carolinensis,resident,1,artificial_terrestrial,Woodland
White-breasted Nuthatch,Sitta carolinensis,resident,1,forest,Woodland
White-crowned Pigeon,Patagioenas leucocephala,resident,1,forest,Woodland
White-crowned Sparrow,Zonotrichia leucophrys,moderate,0,artificial_terrestrial,Shrubland
White-crowned Sparrow,Zonotrichia leucophrys,moderate,0,forest,Shrubland
White-crowned Sparrow,Zonotrichia leucophrys,moderate,0,grassland,Shrubland
White-crowned Sparrow,Zonotrichia leucophrys,moderate,0,shrubland,Shrubland
White-crowned Sparrow,Zonotrichia leucophrys,moderate,0,wetlands_inland,Shrubland
White-eyed Vireo,Vireo griseus,short,0,artificial_terrestrial,Shrubland
White-eyed Vireo,Vireo griseus,short,0,forest,Shrubland
White-eyed Vireo,Vireo griseus,short,0,savanna,Shrubland
White-eyed Vireo,Vireo griseus,short,0,shrubland,Shrubland
White-faced Ibis,Plegadis chihi,short,0,wetlands_inland,Wetland
White-headed Woodpecker,Picoides albolarvatus,resident,1,forest,Woodland
White-tailed Hawk,Buteo albicaudatus,resident,1,artificial_terrestrial,Grassland
White-tailed Hawk,Buteo albicaudatus,resident,1,grassland,Grassland
White-tailed Hawk,Buteo albicaudatus,resident,1,savanna,Grassland
White-tailed Hawk,Buteo albicaudatus,resident,1,shrubland,Grassland
White-tailed Kite,Elanus leucurus,withdrawal,1,artificial_terrestrial,Various
White-tailed Kite,Elanus leucurus,withdrawal,1,grassland,Various
White-tailed Kite,Elanus leucurus,withdrawal,1,marine_intertidal,Various
White-tailed Kite,Elanus leucurus,withdrawal,1,savanna,Various
White-tailed Kite,Elanus leucurus,withdrawal,1,shrubland,Various
White-tailed Kite,Elanus leucurus,withdrawal,1,wetlands_inland,Various
White-throated Sparrow,Zonotrichia albicollis,short,0,artificial_terrestrial,Woodland
White-throated Sparrow,Zonotrichia albicollis,short,0,forest,Woodland
White-throated Sparrow,Zonotrichia albicollis,short,0,shrubland,Woodland
White-throated Swift,Aeronautes saxatalis,short,0,artificial_terrestrial,Various
White-throated Swift,Aeronautes saxatalis,short,0,forest,Various
White-throated Swift,Aeronautes saxatalis,short,0,grassland,Various
White-throated Swift,Aeronautes saxatalis,short,0,rocky,Various
White-throated Swift,Aeronautes saxatalis,short,0,shrubland,Various
White-tipped Dove,Leptotila verreauxi,resident,1,artificial_terrestrial,Woodland
White-tipped Dove,Leptotila verreauxi,resident,1,forest,Woodland
White-tipped Dove,Leptotila verreauxi,resident,1,shrubland,Woodland
White-winged Crossbill,Loxia leucoptera,withdrawal,1,forest,Woodland
White-winged Dove,Zenaida asiatica,withdrawal,1,artificial_terrestrial,Various
White-winged Dove,Zenaida asiatica,withdrawal,1,desert,Various
White-winged Dove,Zenaida asiatica,withdrawal,1,forest,Various
White-winged Dove,Zenaida asiatica,withdrawal,1,shrubland,Various
White-winged Scoter,Melanitta fusca,moderate,0,forest,Wetland
White-winged Scoter,Melanitta fusca,moderate,0,grassland,Wetland
White-winged Scoter,Melanitta fusca,moderate,0,marine_neritic,Wetland
White-winged Scoter,Melanitta fusca,moderate,0,wetlands_inland,Wetland
Whooping Crane,Grus americana,moderate,0,marine_coastal_supratidal,Wetland
Whooping Crane,Grus americana,moderate,0,wetlands_inland,Wetland
Wild Turkey,Meleagris gallopavo,resident,1,artificial_terrestrial,Woodland
Wild Turkey,Meleagris gallopavo,resident,1,forest,Woodland
