COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Common Ostrich,Struthio camelus,LC,Struthio_camelus
Greater Rhea,Rhea americana,NT,Rhea_americana
Lesser Rhea,Rhea pennata,LC,Rhea_pennata
Tawny-breasted Tinamou,Nothocercus julius,LC,Nothocercus_julius
Highland Tinamou,Nothocercus bonapartei,LC,Nothocercus_bonapartei
Hooded Tinamou,Nothocercus nigrocapillus,VU,Nothocercus_nigrocapillus
Grey Tinamou,Tinamus tao,VU,Tinamus_tao
Solitary Tinamou,Tinamus solitarius,NT,Tinamus_solitarius
Black Tinamou,Tinamus osgoodi,VU,Tinamus_osgoodi
Great Tinamou,Tinamus major,NT,Tinamus_major
White-throated Tinamou,Tinamus guttatus,NT,Tinamus_guttatus
Berlepsch's Tinamou,Crypturellus berlepschi,LC,Crypturellus_berlepschi
Cinereous Tinamou,Crypturellus cinereus,LC,Crypturellus_cinereus
Tepui Tinamou,Crypturellus ptaritepui,LC,Crypturellus_ptaritepui
Little Tinamou,Crypturellus soui,LC,Crypturellus_soui
Brown Tinamou,Crypturellus obsoletus,LC,Crypturellus_obsoletus
Undulated Tinamou,Crypturellus undulatus,LC,Crypturellus_undulatus
Brazilian Tinamou,Crypturellus strigulosus,LC,Crypturellus_strigulosus
Grey-legged Tinamou,Crypturellus duidae,NT,Crypturellus_duidae
Red-legged Tinamou,Crypturellus erythropus,LC,Crypturellus_erythropus
Yellow-legged Tinamou,Crypturellus noctivagus,NT,Crypturellus_noctivagus
Black-capped Tinamou,Crypturellus atrocapillus,NT,Crypturellus_atrocapillus
Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC,Crypturellus_cinnamomeus
Pale-browed Tinamou,Crypturellus transfasciatus,NT,Crypturellus_transfasciatus
Slaty-breasted Tinamou,Crypturellus boucardi,LC,Crypturellus_boucardi
Choco Tinamou,Crypturellus kerriae,VU,Crypturellus_kerriae
Variegated Tinamou,Crypturellus variegatus,LC,Crypturellus_variegatus
Rusty Tinamou,Crypturellus brevirostris,LC,Crypturellus_brevirostris
Bartlett's Tinamou,Crypturellus bartletti,LC,Crypturellus_bartletti
Barred Tinamou,Crypturellus casiquiare,LC,Crypturellus_casiquiare
Small-billed Tinamou,Crypturellus parvirostris,LC,Crypturellus_parvirostris
Tataupa Tinamou,Crypturellus tataupa,LC,Crypturellus_tataupa
Red-winged Tinamou,Rhynchotus rufescens,LC,Rhynchotus_rufescens
Huayco Tinamou,Rhynchotus maculicollis,LC,Rhynchotus_maculicollis
Taczanowski's Tinamou,Nothoprocta taczanowskii,VU,Nothoprocta_taczanowskii
Ornate Tinamou,Nothoprocta ornata,LC,Nothoprocta_ornata
Chilean Tinamou,Nothoprocta perdicaria,LC,Nothoprocta_perdicaria
Brushland Tinamou,Nothoprocta cinerascens,LC,Nothoprocta_cinerascens
Andean Tinamou,Nothoprocta pentlandii,LC,Nothoprocta_pentlandii
Curve-billed Tinamou,Nothoprocta curvirostris,LC,Nothoprocta_curvirostris
White-bellied Nothura,Nothura boraquira,LC,Nothura_boraquira
Lesser Nothura,Nothura minor,VU,Nothura_minor
Darwin's Nothura,Nothura darwinii,LC,Nothura_darwinii
Spotted Nothura,Nothura maculosa,LC,Nothura_maculosa
Chaco Nothura,Nothura chacoensis,LC,Nothura_chacoensis
Dwarf Tinamou,Taoniscus nanus,EN,Taoniscus_nanus
Elegant Crested Tinamou,Eudromia elegans,LC,Eudromia_elegans
Quebracho Crested Tinamou,Eudromia formosa,LC,Eudromia_formosa
Puna Tinamou,Tinamotis pentlandii,LC,Tinamotis_pentlandii
Patagonian Tinamou,Tinamotis ingoufi,LC,Tinamotis_ingoufi
Southern Cassowary,Casuarius casuarius,LC,Casuarius_casuarius
Dwarf Cassowary,Casuarius bennetti,LC,Casuarius_bennetti
Northern Cassowary,Casuarius unappendiculatus,LC,Casuarius_unappendiculatus
Common Emu,Dromaius novaehollandiae,LC,Dromaius_novaehollandiae
Great Spotted Kiwi,Apteryx haastii,VU,Apteryx_haastii
Little Spotted Kiwi,Apteryx owenii,NT,Apteryx_owenii
Northern Brown Kiwi,Apteryx mantelli,VU,Apteryx_mantelli
Southern Brown Kiwi,Apteryx australis,VU,Apteryx_australis
Australian Brush-turkey,Alectura lathami,LC,Alectura_lathami
Wattled Brush-turkey,Aepypodius arfakianus,LC,Aepypodius_arfakianus
Waigeo Brush-turkey,Aepypodius bruijnii,EN,Aepypodius_bruijnii
Red-billed Brush-turkey,Talegalla cuvieri,LC,Talegalla_cuvieri
Black-billed Brush-turkey,Talegalla fuscirostris,LC,Talegalla_fuscirostris
Collared Brush-turkey,Talegalla jobiensis,LC,Talegalla_jobiensis
Malleefowl,Leipoa ocellata,VU,Leipoa_ocellata
Maleo,Macrocephalon maleo,EN,Macrocephalon_maleo
Moluccan Scrubfowl,Eulipoa wallacei,VU,Eulipoa_wallacei
Nicobar Scrubfowl,Megapodius nicobariensis,VU,Megapodius_nicobariensis
Philippine Scrubfowl,Megapodius cumingii,LC,Megapodius_cumingii
Sula Scrubfowl,Megapodius bernsteinii,VU,Megapodius_bernsteinii
Tanimbar Scrubfowl,Megapodius tenimberensis,NT,Megapodius_tenimberensis
Vanuatu Scrubfowl,Megapodius layardi,VU,Megapodius_layardi
Micronesian Scrubfowl,Megapodius laperouse,EN,Megapodius_laperouse
Tongan Scrubfowl,Megapodius pritchardii,EN,Megapodius_pritchardii
Dusky Scrubfowl,Megapodius freycinet,LC,Megapodius_freycinet
Biak Scrubfowl,Megapodius geelvinkianus,VU,Megapodius_geelvinkianus
Melanesian Scrubfowl,Megapodius eremita,LC,Megapodius_eremita
Orange-footed Scrubfowl,Megapodius reinwardt,LC,Megapodius_reinwardt
Black Guan,Chamaepetes unicolor,LC,Chamaepetes_unicolor
Sickle-winged Guan,Chamaepetes goudotii,LC,Chamaepetes_goudotii
Highland Guan,Penelopina nigra,VU,Penelopina_nigra
Band-tailed Guan,Penelope argyrotis,LC,Penelope_argyrotis
Bearded Guan,Penelope barbata,NT,Penelope_barbata
Baudo Guan,Penelope ortoni,EN,Penelope_ortoni
Andean Guan,Penelope montagnii,LC,Penelope_montagnii
Marail Guan,Penelope marail,LC,Penelope_marail
Rusty-margined Guan,Penelope superciliaris,LC,Penelope_superciliaris
Red-faced Guan,Penelope dabbenei,LC,Penelope_dabbenei
Spix's Guan,Penelope jacquacu,LC,Penelope_jacquacu
Crested Guan,Penelope purpurascens,LC,Penelope_purpurascens
Cauca Guan,Penelope perspicax,EN,Penelope_perspicax
White-winged Guan,Penelope albipennis,EN,Penelope_albipennis
Dusky-legged Guan,Penelope obscura,LC,Penelope_obscura
White-crested Guan,Penelope pileata,VU,Penelope_pileata
Chestnut-bellied Guan,Penelope ochrogaster,VU,Penelope_ochrogaster
White-browed Guan,Penelope jacucaca,VU,Penelope_jacucaca
Trinidad Piping-guan,Pipile pipile,CR,Pipile_pipile
Blue-throated Piping-guan,Pipile cumanensis,LC,Pipile_cumanensis
Red-throated Piping-guan,Pipile cujubi,LC,Pipile_cujubi
Black-fronted Piping-guan,Pipile jacutinga,EN,Pipile_jacutinga
Wattled Guan,Aburria aburri,NT,Aburria_aburri
Horned Guan,Oreophasis derbianus,EN,Oreophasis_derbianus
Plain Chachalaca,Ortalis vetula,LC,Ortalis_vetula
Grey-headed Chachalaca,Ortalis cinereiceps,LC,Ortalis_cinereiceps
Chestnut-winged Chachalaca,Ortalis garrula,LC,Ortalis_garrula
Rufous-vented Chachalaca,Ortalis ruficauda,LC,Ortalis_ruficauda
Rufous-headed Chachalaca,Ortalis erythroptera,VU,Ortalis_erythroptera
Rufous-bellied Chachalaca,Ortalis wagleri,LC,Ortalis_wagleri
West Mexican Chachalaca,Ortalis poliocephala,LC,Ortalis_poliocephala
Chaco Chachalaca,Ortalis canicollis,LC,Ortalis_canicollis
White-bellied Chachalaca,Ortalis leucogastra,LC,Ortalis_leucogastra
Speckled Chachalaca,Ortalis guttata,LC,Ortalis_guttata
Little Chachalaca,Ortalis motmot,LC,Ortalis_motmot
Buff-browed Chachalaca,Ortalis superciliaris,LC,Ortalis_superciliaris
Nocturnal Curassow,Nothocrax urumutum,LC,Nothocrax_urumutum
Great Curassow,Crax rubra,VU,Crax_rubra
Blue-billed Curassow,Crax alberti,CR,Crax_alberti
Yellow-knobbed Curassow,Crax daubentoni,NT,Crax_daubentoni
Black Curassow,Crax alector,VU,Crax_alector
Bare-faced Curassow,Crax fasciolata,VU,Crax_fasciolata
Wattled Curassow,Crax globulosa,EN,Crax_globulosa
Red-billed Curassow,Crax blumenbachii,EN,Crax_blumenbachii
Crestless Curassow,Mitu tomentosum,NT,Mitu_tomentosum
Alagoas Curassow,Mitu mitu,EW,Mitu_mitu
Razor-billed Curassow,Mitu tuberosum,LC,Mitu_tuberosum
Salvin's Curassow,Mitu salvini,LC,Mitu_salvini
Horned Curassow,Pauxi unicornis,CR,Pauxi_unicornis
Helmeted Curassow,Pauxi pauxi,EN,Pauxi_pauxi
Helmeted Guineafowl,Numida meleagris,LC,Numida_meleagris
White-breasted Guineafowl,Agelastes meleagrides,VU,Agelastes_meleagrides
Black Guineafowl,Agelastes niger,LC,Agelastes_niger
Vulturine Guineafowl,Acryllium vulturinum,LC,Acryllium_vulturinum
Plumed Guineafowl,Guttera plumifera,LC,Guttera_plumifera
Eastern Crested Guineafowl,Guttera pucherani,LC,Guttera_pucherani
Stone Partridge,Ptilopachus petrosus,LC,Ptilopachus_petrosus
Banded Quail,Philortyx fasciatus,LC,Philortyx_fasciatus
Mountain Quail,Oreortyx pictus,LC,Oreortyx_pictus
Northern Bobwhite,Colinus virginianus,NT,Colinus_virginianus
Black-throated Bobwhite,Colinus nigrogularis,LC,Colinus_nigrogularis
Spot-bellied Bobwhite,Colinus leucopogon,LC,Colinus_leucopogon
Crested Bobwhite,Colinus cristatus,LC,Colinus_cristatus
Scaled Quail,Callipepla squamata,LC,Callipepla_squamata
Elegant Quail,Callipepla douglasii,LC,Callipepla_douglasii
Gambel's Quail,Callipepla gambelii,LC,Callipepla_gambelii
California Quail,Callipepla californica,LC,Callipepla_californica
Bearded Wood-partridge,Dendrortyx barbatus,VU,Dendrortyx_barbatus
Long-tailed Wood-partridge,Dendrortyx macroura,LC,Dendrortyx_macroura
Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC,Dendrortyx_leucophrys
Marbled Wood-quail,Odontophorus gujanensis,NT,Odontophorus_gujanensis
Spot-winged Wood-quail,Odontophorus capueira,LC,Odontophorus_capueira
Black-eared Wood-quail,Odontophorus melanotis,LC,Odontophorus_melanotis
Rufous-fronted Wood-quail,Odontophorus erythrops,LC,Odontophorus_erythrops
Black-fronted Wood-quail,Odontophorus atrifrons,VU,Odontophorus_atrifrons
Chestnut Wood-quail,Odontophorus hyperythrus,NT,Odontophorus_hyperythrus
Dark-backed Wood-quail,Odontophorus melanonotus,VU,Odontophorus_melanonotus
Rufous-breasted Wood-quail,Odontophorus speciosus,NT,Odontophorus_speciosus
Tacarcuna Wood-quail,Odontophorus dialeucos,VU,Odontophorus_dialeucos
Gorgeted Wood-quail,Odontophorus strophium,VU,Odontophorus_strophium
Venezuelan Wood-quail,Odontophorus columbianus,NT,Odontophorus_columbianus
Black-breasted Wood-quail,Odontophorus leucolaemus,LC,Odontophorus_leucolaemus
Stripe-faced Wood-quail,Odontophorus balliviani,LC,Odontophorus_balliviani
Starred Wood-quail,Odontophorus stellatus,LC,Odontophorus_stellatus
Spotted Wood-quail,Odontophorus guttatus,LC,Odontophorus_guttatus
Tawny-faced Quail,Rhynchortyx cinctus,LC,Rhynchortyx_cinctus
Singing Quail,Dactylortyx thoracicus,LC,Dactylortyx_thoracicus
Montezuma Quail,Cyrtonyx montezumae,LC,Cyrtonyx_montezumae
Ocellated Quail,Cyrtonyx ocellatus,VU,Cyrtonyx_ocellatus
Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN,Xenoperdix_udzungwensis
Crested Partridge,Rollulus rouloul,NT,Rollulus_rouloul
Hill Partridge,Arborophila torqueola,LC,Arborophila_torqueola
Rufous-throated Partridge,Arborophila rufogularis,LC,Arborophila_rufogularis
White-cheeked Partridge,Arborophila atrogularis,NT,Arborophila_atrogularis
Taiwan Partridge,Arborophila crudigularis,LC,Arborophila_crudigularis
Chestnut-breasted Partridge,Arborophila mandellii,VU,Arborophila_mandellii
Bar-backed Partridge,Arborophila brunneopectus,LC,Arborophila_brunneopectus
Sichuan Partridge,Arborophila rufipectus,EN,Arborophila_rufipectus
Collared Partridge,Arborophila gingica,NT,Arborophila_gingica
Orange-necked Partridge,Arborophila davidi,NT,Arborophila_davidi
Chestnut-headed Partridge,Arborophila cambodiana,LC,Arborophila_cambodiana
Malay Partridge,Arborophila campbelli,LC,Arborophila_campbelli
Tan-breasted Partridge,Arborophila rolli,LC,Arborophila_rolli
Sumatran Partridge,Arborophila sumatrana,LC,Arborophila_sumatrana
White-faced Partridge,Arborophila orientalis,VU,Arborophila_orientalis
Chestnut-bellied Partridge,Arborophila javanica,LC,Arborophila_javanica
Red-billed Partridge,Arborophila rubrirostris,LC,Arborophila_rubrirostris
Bornean Partridge,Arborophila hyperythra,LC,Arborophila_hyperythra
Hainan Partridge,Arborophila ardens,VU,Arborophila_ardens
Green-legged Partridge,Arborophila chloropus,LC,Arborophila_chloropus
Chestnut-necklaced Partridge,Arborophila charltonii,VU,Arborophila_charltonii
Long-billed Partridge,Rhizothera longirostris,NT,Rhizothera_longirostris
Black Partridge,Melanoperdix niger,VU,Melanoperdix_niger
Crimson-headed Partridge,Haematortyx sanguiniceps,LC,Haematortyx_sanguiniceps
Ferruginous Partridge,Caloperdix oculeus,NT,Caloperdix_oculeus
Red Spurfowl,Galloperdix spadicea,LC,Galloperdix_spadicea
Painted Spurfowl,Galloperdix lunulata,LC,Galloperdix_lunulata
Sri Lanka Spurfowl,Galloperdix bicalcarata,LC,Galloperdix_bicalcarata
Congo Peafowl,Afropavo congensis,VU,Afropavo_congensis
Indian Peafowl,Pavo cristatus,LC,Pavo_cristatus
Green Peafowl,Pavo muticus,EN,Pavo_muticus
Great Argus,Argusianus argus,NT,Argusianus_argus
Crested Argus,Rheinardia ocellata,EN,Rheinardia_ocellata
Palawan Peacock-pheasant,Polyplectron napoleonis,VU,Polyplectron_napoleonis
Malay Peacock-pheasant,Polyplectron malacense,VU,Polyplectron_malacense
Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN,Polyplectron_schleiermacheri
Germain's Peacock-pheasant,Polyplectron germaini,NT,Polyplectron_germaini
Hainan Peacock-pheasant,Polyplectron katsumatae,EN,Polyplectron_katsumatae
Grey Peacock-pheasant,Polyplectron bicalcaratum,LC,Polyplectron_bicalcaratum
Mountain Peacock-pheasant,Polyplectron inopinatum,VU,Polyplectron_inopinatum
Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC,Polyplectron_chalcurum
Madagascar Partridge,Margaroperdix madagarensis,LC,Margaroperdix_madagascariensis
Common Quail,Coturnix coturnix,LC,Coturnix_coturnix
Japanese Quail,Coturnix japonica,NT,Coturnix_japonica
Rain Quail,Coturnix coromandelica,LC,Coturnix_coromandelica
Harlequin Quail,Coturnix delegorguei,LC,Coturnix_delegorguei
Stubble Quail,Coturnix pectoralis,LC,Coturnix_pectoralis
Brown Quail,Synoicus ypsilophorus,LC,Coturnix_ypsilophora
Snow Mountain Quail,Anurophasis monorthonyx,NT,Anurophasis_monorthonyx
Caucasian Snowcock,Tetraogallus caucasicus,LC,Tetraogallus_caucasicus
Caspian Snowcock,Tetraogallus caspius,LC,Tetraogallus_caspius
Himalayan Snowcock,Tetraogallus himalayensis,LC,Tetraogallus_himalayensis
Tibetan Snowcock,Tetraogallus tibetanus,LC,Tetraogallus_tibetanus
Altai Snowcock,Tetraogallus altaicus,LC,Tetraogallus_altaicus
Rock Partridge,Alectoris graeca,NT,Alectoris_graeca
Chukar,Alectoris chukar,LC,Alectoris_chukar
Przevalski's Partridge,Alectoris magna,LC,Alectoris_magna
Philby's Partridge,Alectoris philbyi,LC,Alectoris_philbyi
Barbary Partridge,Alectoris barbara,LC,Alectoris_barbara
Red-legged Partridge,Alectoris rufa,LC,Alectoris_rufa
Arabian Partridge,Alectoris melanocephala,LC,Alectoris_melanocephala
Snow Partridge,Lerwa lerwa,LC,Lerwa_lerwa
See-see Partridge,Ammoperdix griseogularis,LC,Ammoperdix_griseogularis
Sand Partridge,Ammoperdix heyi,LC,Ammoperdix_heyi
Jungle Bush-quail,Perdicula asiatica,LC,Perdicula_asiatica
Rock Bush-quail,Perdicula argoondah,LC,Perdicula_argoondah
Painted Bush-quail,Perdicula erythrorhyncha,LC,Perdicula_erythrorhyncha
Manipur Bush-quail,Perdicula manipurensis,EN,Perdicula_manipurensis
Hartlaub's Francolin,Pternistis hartlaubi,LC,Francolinus_hartlaubi
Double-spurred Francolin,Pternistis bicalcaratus,LC,Francolinus_bicalcaratus
Heuglin's Francolin,Pternistis icterorhynchus,LC,Francolinus_icterorhynchus
Clapperton's Francolin,Pternistis clappertoni,LC,Francolinus_clappertoni
Harwood's Francolin,Pternistis harwoodi,NT,Francolinus_harwoodi
Red-billed Francolin,Pternistis adspersus,LC,Francolinus_adspersus
Cape Francolin,Pternistis capensis,LC,Francolinus_capensis
Natal Francolin,Pternistis natalensis,LC,Francolinus_natalensis
Hildebrandt's Francolin,Pternistis hildebrandti,LC,Francolinus_hildebrandti
Ahanta Francolin,Pternistis ahantensis,LC,Francolinus_ahantensis
Scaly Francolin,Pternistis squamatus,LC,Francolinus_squamatus
Grey-striped Francolin,Pternistis griseostriatus,LC,Francolinus_griseostriatus
Jackson's Francolin,Pternistis jacksoni,LC,Francolinus_jacksoni
Handsome Francolin,Pternistis nobilis,LC,Francolinus_nobilis
Mount Cameroon Francolin,Pternistis camerunensis,EN,Francolinus_camerunensis
Swierstra's Francolin,Pternistis swierstrai,EN,Francolinus_swierstrai
Chestnut-naped Francolin,Pternistis castaneicollis,LC,Francolinus_castaneicollis
Erckel's Francolin,Pternistis erckelii,LC,Francolinus_erckelii
Djibouti Francolin,Pternistis ochropectus,CR,Francolinus_ochropectus
Black Francolin,Francolinus francolinus,LC,Francolinus_francolinus
Painted Francolin,Francolinus pictus,LC,Francolinus_pictus
Chinese Francolin,Francolinus pintadeanus,LC,Francolinus_pintadeanus
Grey Francolin,Francolinus pondicerianus,LC,Francolinus_pondicerianus
Swamp Francolin,Francolinus gularis,VU,Francolinus_gularis
Crested Francolin,Dendroperdix sephaena,LC,Francolinus_sephaena
Coqui Francolin,Peliperdix coqui,LC,Francolinus_coqui
White-throated Francolin,Peliperdix albogularis,LC,Francolinus_albogularis
Schlegel's Francolin,Peliperdix schlegelii,LC,Francolinus_schlegelii
Forest Francolin,Peliperdix lathami,LC,Francolinus_lathami
Ring-necked Francolin,Scleroptila streptophora,NT,Francolinus_streptophorus
Red-winged Francolin,Scleroptila levaillantii,LC,Francolinus_levaillantii
Grey-winged Francolin,Scleroptila afra,LC,Francolinus_africanus
Finsch's Francolin,Scleroptila finschi,LC,Francolinus_finschi
Moorland Francolin,Scleroptila psilolaema,NT,Francolinus_psilolaemus
Shelley's Francolin,Scleroptila shelleyi,LC,Francolinus_shelleyi
Orange River Francolin,Scleroptila gutturalis,LC,Francolinus_levaillantoides
Mountain Bamboo-partridge,Bambusicola fytchii,LC,Bambusicola_fytchii
Chinese Bamboo-partridge,Bambusicola thoracicus,LC,Bambusicola_thoracicus
Red Junglefowl,Gallus gallus,LC,Gallus_gallus
Grey Junglefowl,Gallus sonneratii,LC,Gallus_sonneratii
Sri Lanka Junglefowl,Gallus lafayettii,LC,Gallus_lafayetii
Green Junglefowl,Gallus varius,LC,Gallus_varius
Chestnut-throated Partridge,Tetraophasis obscurus,LC,Tetraophasis_obscurus
Buff-throated Partridge,Tetraophasis szechenyii,LC,Tetraophasis_szechenyii
Himalayan Monal,Lophophorus impejanus,LC,Lophophorus_impejanus
Sclater's Monal,Lophophorus sclateri,VU,Lophophorus_sclateri
Chinese Monal,Lophophorus lhuysii,VU,Lophophorus_lhuysii
Western Tragopan,Tragopan melanocephalus,VU,Tragopan_melanocephalus
Satyr Tragopan,Tragopan satyra,NT,Tragopan_satyra
Blyth's Tragopan,Tragopan blythii,VU,Tragopan_blythii
Temminck's Tragopan,Tragopan temminckii,LC,Tragopan_temminckii
Cabot's Tragopan,Tragopan caboti,VU,Tragopan_caboti
Blood Pheasant,Ithaginis cruentus,LC,Ithaginis_cruentus
Koklass Pheasant,Pucrasia macrolopha,LC,Pucrasia_macrolopha
Elliot's Pheasant,Syrmaticus ellioti,NT,Syrmaticus_ellioti
Mrs Hume's Pheasant,Syrmaticus humiae,NT,Syrmaticus_humiae
Mikado Pheasant,Syrmaticus mikado,NT,Syrmaticus_mikado
Copper Pheasant,Syrmaticus soemmerringii,NT,Syrmaticus_soemmerringii
Reeves's Pheasant,Syrmaticus reevesii,VU,Syrmaticus_reevesii
Golden Pheasant,Chrysolophus pictus,LC,Chrysolophus_pictus
Lady Amherst's Pheasant,Chrysolophus amherstiae,LC,Chrysolophus_amherstiae
Common Pheasant,Phasianus colchicus,LC,Phasianus_colchicus
Green Pheasant,Phasianus versicolor,LC,Phasianus_versicolor
White Eared-pheasant,Crossoptilon crossoptilon,NT,Crossoptilon_crossoptilon
Tibetan Eared-pheasant,Crossoptilon harmani,NT,Crossoptilon_harmani
Brown Eared-pheasant,Crossoptilon mantchuricum,VU,Crossoptilon_mantchuricum
Blue Eared-pheasant,Crossoptilon auritum,LC,Crossoptilon_auritum
Cheer Pheasant,Catreus wallichii,VU,Catreus_wallichi
Kalij Pheasant,Lophura leucomelanos,LC,Lophura_leucomelanos
Silver Pheasant,Lophura nycthemera,LC,Lophura_nycthemera
Edwards's Pheasant,Lophura edwardsi,CR,Lophura_edwardsi
Swinhoe's Pheasant,Lophura swinhoii,NT,Lophura_swinhoii
Salvadori's Pheasant,Lophura inornata,NT,Lophura_inornata
Malay Crestless Fireback,Lophura erythrophthalma,VU,Lophura_erythrophthalma
Bornean Crested Fireback,Lophura ignita,NT,Lophura_ignita
Siamese Fireback,Lophura diardi,LC,Lophura_diardi
Bulwer's Pheasant,Lophura bulweri,VU,Lophura_bulweri
Grey Partridge,Perdix perdix,LC,Perdix_perdix
Daurian Partridge,Perdix dauurica,LC,Perdix_dauurica
Tibetan Partridge,Perdix hodgsoniae,LC,Perdix_hodgsoniae
Wild Turkey,Meleagris gallopavo,LC,Meleagris_gallopavo
Ocellated Turkey,Meleagris ocellata,NT,Meleagris_ocellata
Ruffed Grouse,Bonasa umbellus,LC,Bonasa_umbellus
Hazel Grouse,Bonasa bonasia,LC,Bonasa_bonasia
Chinese Grouse,Bonasa sewerzowi,NT,Bonasa_sewerzowi
Willow Grouse,Lagopus lagopus,LC,Lagopus_lagopus
Rock Ptarmigan,Lagopus muta,LC,Lagopus_muta
White-tailed Ptarmigan,Lagopus leucura,LC,Lagopus_leucura
Dusky Grouse,Dendragapus obscurus,LC,Dendragapus_obscurus
Sooty Grouse,Dendragapus fuliginosus,LC,Dendragapus_fuliginosus
Siberian Grouse,Falcipennis falcipennis,NT,Dendragapus_falcipennis
Spruce Grouse,Falcipennis canadensis,LC,Dendragapus_canadensis
Western Capercaillie,Tetrao urogallus,LC,Tetrao_urogallus
Black-billed Capercaillie,Tetrao urogalloides,LC,Tetrao_parvirostris
Black Grouse,Lyrurus tetrix,LC,Tetrao_tetrix
Caucasian Grouse,Lyrurus mlokosiewiczi,NT,Tetrao_mlokosiewiczi
Sage Grouse,Centrocercus urophasianus,NT,Centrocercus_urophasianus
Gunnison Grouse,Centrocercus minimus,EN,Centrocercus_minimus
Sharp-tailed Grouse,Tympanuchus phasianellus,LC,Tympanuchus_phasianellus
Greater Prairie-chicken,Tympanuchus cupido,VU,Tympanuchus_cupido
Lesser Prairie-chicken,Tympanuchus pallidicinctus,VU,Tympanuchus_pallidicinctus
Horned Screamer,Anhima cornuta,LC,Anhima_cornuta
Northern Screamer,Chauna chavaria,NT,Chauna_chavaria
Southern Screamer,Chauna torquata,LC,Chauna_torquata
Magpie Goose,Anseranas semipalmata,LC,Anseranas_semipalmata
White-faced Whistling-duck,Dendrocygna viduata,LC,Dendrocygna_viduata
Black-bellied Whistling-duck,Dendrocygna autumnalis,LC,Dendrocygna_autumnalis
Spotted Whistling-duck,Dendrocygna guttata,LC,Dendrocygna_guttata
West Indian Whistling-duck,Dendrocygna arborea,VU,Dendrocygna_arborea
Fulvous Whistling-duck,Dendrocygna bicolor,LC,Dendrocygna_bicolor
Plumed Whistling-duck,Dendrocygna eytoni,LC,Dendrocygna_eytoni
Wandering Whistling-duck,Dendrocygna arcuata,LC,Dendrocygna_arcuata
Lesser Whistling-duck,Dendrocygna javanica,LC,Dendrocygna_javanica
White-backed Duck,Thalassornis leuconotus,LC,Thalassornis_leuconotus
Black-headed Duck,Heteronetta atricapilla,LC,Heteronetta_atricapilla
Masked Duck,Nomonyx dominicus,LC,Nomonyx_dominicus
Ruddy Duck,Oxyura jamaicensis,LC,Oxyura_jamaicensis
Lake Duck,Oxyura vittata,LC,Oxyura_vittata
Blue-billed Duck,Oxyura australis,NT,Oxyura_australis
Maccoa Duck,Oxyura maccoa,VU,Oxyura_maccoa
White-headed Duck,Oxyura leucocephala,EN,Oxyura_leucocephala
Musk Duck,Biziura lobata,LC,Biziura_lobata
Pink-eared Duck,Malacorhynchus membranaceus,LC,Malacorhynchus_membranaceus
Freckled Duck,Stictonetta naevosa,LC,Stictonetta_naevosa
Cape Barren Goose,Cereopsis novaehollandiae,LC,Cereopsis_novaehollandiae
Coscoroba Swan,Coscoroba coscoroba,LC,Coscoroba_coscoroba
Black-necked Swan,Cygnus melancoryphus,LC,Cygnus_melancoryphus
Black Swan,Cygnus atratus,LC,Cygnus_atratus
Mute Swan,Cygnus olor,LC,Cygnus_olor
Trumpeter Swan,Cygnus buccinator,LC,Cygnus_buccinator
Whooper Swan,Cygnus cygnus,LC,Cygnus_cygnus
Tundra Swan,Cygnus columbianus,LC,Cygnus_columbianus
Brent Goose,Branta bernicla,LC,Branta_bernicla
Barnacle Goose,Branta leucopsis,LC,Branta_leucopsis
Red-breasted Goose,Branta ruficollis,VU,Branta_ruficollis
Cackling Goose,Branta hutchinsii,LC,Branta_hutchinsii
Canada Goose,Branta canadensis,LC,Branta_canadensis
Hawaiian Goose,Branta sandvicensis,VU,Branta_sandvicensis
Emperor Goose,Anser canagicus,NT,Chen_canagica
Snow Goose,Anser caerulescens,LC,Chen_caerulescens
Ross's Goose,Anser rossii,LC,Chen_rossii
Bar-headed Goose,Anser indicus,LC,Anser_indicus
Greylag Goose,Anser anser,LC,Anser_anser
Swan Goose,Anser cygnoid,VU,Anser_cygnoides
Bean Goose,Anser fabalis,LC,Anser_fabalis
Pink-footed Goose,Anser brachyrhynchus,LC,Anser_brachyrhynchus
Greater White-fronted Goose,Anser albifrons,LC,Anser_albifrons
Lesser White-fronted Goose,Anser erythropus,VU,Anser_erythropus
Long-tailed Duck,Clangula hyemalis,VU,Clangula_hyemalis
Spectacled Eider,Somateria fischeri,NT,Somateria_fischeri
King Eider,Somateria spectabilis,LC,Somateria_spectabilis
Common Eider,Somateria mollissima,NT,Somateria_mollissima
Steller's Eider,Polysticta stelleri,VU,Polysticta_stelleri
Surf Scoter,Melanitta perspicillata,LC,Melanitta_perspicillata
Velvet Scoter,Melanitta fusca,VU,Melanitta_fusca
White-winged Scoter,Melanitta deglandi,LC,Melanitta_fusca
Common Scoter,Melanitta nigra,LC,Melanitta_nigra
Black Scoter,Melanitta americana,NT,Melanitta_nigra
Bufflehead,Bucephala albeola,LC,Bucephala_albeola
