COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Red-headed Bunting,Emberiza bruniceps,LC,Emberiza_bruniceps
Corn Bunting,Emberiza calandra,LC,Miliaria_calandra
Chestnut-eared Bunting,Emberiza fucata,LC,Emberiza_fucata
Tibetan Bunting,Emberiza koslowi,NT,Emberiza_koslowi
Jankowski's Bunting,Emberiza jankowskii,EN,Emberiza_jankowskii
Rock Bunting,Emberiza cia,LC,Emberiza_cia
Meadow Bunting,Emberiza cioides,LC,Emberiza_cioides
Godlewski's Bunting,Emberiza godlewskii,LC,Emberiza_godlewskii
Grey-necked Bunting,Emberiza buchanani,LC,Emberiza_buchanani
Cinereous Bunting,Emberiza cineracea,NT,Emberiza_cineracea
Ortolan Bunting,Emberiza hortulana,LC,Emberiza_hortulana
Cretzschmar's Bunting,Emberiza caesia,LC,Emberiza_caesia
Cirl Bunting,Emberiza cirlus,LC,Emberiza_cirlus
White-capped Bunting,Emberiza stewarti,LC,Emberiza_stewarti
Yellowhammer,Emberiza citrinella,LC,Emberiza_citrinella
Pine Bunting,Emberiza leucocephalos,LC,Emberiza_leucocephalos
Cabanis's Bunting,Emberiza cabanisi,LC,Emberiza_cabanisi
Golden-breasted Bunting,Emberiza flaviventris,LC,Emberiza_flaviventris
Somali Bunting,Emberiza poliopleura,LC,Emberiza_poliopleura
Cape Bunting,Emberiza capensis,LC,Emberiza_capensis
Lark-like Bunting,Emberiza impetuani,LC,Emberiza_impetuani
Socotra Bunting,Emberiza socotrana,NT,Emberiza_socotrana
House Bunting,Emberiza sahari,LC,Emberiza_striolata
Striolated Bunting,Emberiza striolata,LC,Emberiza_striolata
Cinnamon-breasted Bunting,Emberiza tahapisi,LC,Emberiza_tahapisi
Yellow-throated Bunting,Emberiza elegans,LC,Emberiza_elegans
Slaty Bunting,Emberiza siemsseni,LC,Latoucheornis_siemsseni
Ochre-rumped Bunting,Emberiza yessoensis,NT,Emberiza_yessoensis
Reed Bunting,Emberiza schoeniclus,LC,Emberiza_schoeniclus
Pallas's Bunting,Emberiza pallasi,LC,Emberiza_pallasi
Yellow-breasted Bunting,Emberiza aureola,CR,Emberiza_aureola
Rustic Bunting,Emberiza rustica,VU,Emberiza_rustica
Little Bunting,Emberiza pusilla,LC,Emberiza_pusilla
Black-faced Bunting,Emberiza spodocephala,LC,Emberiza_spodocephala
Yellow Bunting,Emberiza sulphurata,VU,Emberiza_sulphurata
Chestnut Bunting,Emberiza rutila,LC,Emberiza_rutila
Yellow-browed Bunting,Emberiza chrysophrys,LC,Emberiza_chrysophrys
Tristram's Bunting,Emberiza tristrami,LC,Emberiza_tristrami
Grey Bunting,Emberiza variabilis,LC,Emberiza_variabilis
Chipping Sparrow,Spizella passerina,LC,Spizella_passerina
Clay-colored Sparrow,Spizella pallida,LC,Spizella_pallida
Black-chinned Sparrow,Spizella atrogularis,LC,Spizella_atrogularis
Field Sparrow,Spizella pusilla,LC,Spizella_pusilla
Brewer's Sparrow,Spizella breweri,LC,Spizella_breweri
Worthen's Sparrow,Spizella wortheni,EN,Spizella_wortheni
Black-throated Sparrow,Amphispiza bilineata,LC,Amphispiza_bilineata
Five-striped Sparrow,Amphispiza quinquestriata,LC,Aimophila_quinquestriata
Lark Sparrow,Chondestes grammacus,LC,Chondestes_grammacus
Lark Bunting,Calamospiza melanocorys,LC,Calamospiza_melanocorys
Tumbes Sparrow,Rhynchospiza stolzmanni,LC,Aimophila_stolzmanni
Stripe-capped Sparrow,Rhynchospiza strigiceps,LC,Aimophila_strigiceps
Cinnamon-tailed Sparrow,Peucaea sumichrasti,NT,Aimophila_sumichrasti
Rufous-winged Sparrow,Peucaea carpalis,LC,Aimophila_carpalis
Stripe-headed Sparrow,Peucaea ruficauda,LC,Aimophila_ruficauda
Black-chested Sparrow,Peucaea humeralis,LC,Aimophila_humeralis
Bridled Sparrow,Peucaea mystacalis,LC,Aimophila_mystacalis
Botteri's Sparrow,Peucaea botterii,LC,Aimophila_botterii
Cassin's Sparrow,Peucaea cassinii,LC,Aimophila_cassinii
Bachman's Sparrow,Peucaea aestivalis,NT,Aimophila_aestivalis
Olive Sparrow,Arremonops rufivirgatus,LC,Arremonops_rufivirgatus
Tocuyo Sparrow,Arremonops tocuyensis,LC,Arremonops_tocuyensis
Green-backed Sparrow,Arremonops chloronotus,LC,Arremonops_chloronotus
Black-striped Sparrow,Arremonops conirostris,LC,Arremonops_conirostris
Grasshopper Sparrow,Ammodramus savannarum,LC,Ammodramus_savannarum
Grassland Sparrow,Ammodramus humeralis,LC,Ammodramus_humeralis
Yellow-browed Sparrow,Ammodramus aurifrons,LC,Ammodramus_aurifrons
Tanager Finch,Oreothraupis arremonops,LC,Oreothraupis_arremonops
Common Bush-tanager,Chlorospingus flavopectus,LC,Chlorospingus_ophthalmicus
